codelist_name,concept_id,concept_name,standard_concept
asthma,257581,Acute asthma,S
asthma,45769441,Acute exacerbation of allergic asthma,S
asthma,46273452,Acute exacerbation of asthma co-occurrent with allergic rhinitis,S
asthma,40481763,Acute exacerbation of chronic asthmatic bronchitis,S
asthma,43530693,Acute exacerbation of chronic obstructive airways disease with asthma,S
asthma,37159957,Acute exacerbation of intermittent allergic asthma,S
asthma,45773005,Acute exacerbation of intrinsic asthma,S
asthma,37159958,Acute exacerbation of moderate persistent allergic asthma,S
asthma,36684328,Acute severe exacerbation of allergic asthma,S
asthma,45769438,Acute severe exacerbation of asthma,S
asthma,46269767,Acute severe exacerbation of asthma co-occurrent with allergic rhinitis,S
asthma,45769442,Acute severe exacerbation of immunoglobin E-mediated allergic asthma,S
asthma,45769443,Acute severe exacerbation of intrinsic asthma,S
asthma,46274124,Acute severe exacerbation of mild persistent allergic asthma,S
asthma,46269777,Acute severe exacerbation of mild persistent allergic asthma co-occurrent with allergic rhinitis,S
asthma,45769352,Acute severe exacerbation of mild persistent asthma,S
asthma,46273462,Acute severe exacerbation of moderate persistent allergic asthma,S
asthma,45769351,Acute severe exacerbation of moderate persistent asthma,S
asthma,46269785,Acute severe exacerbation of moderate persistent asthma co-occurrent with allergic rhinitis,S
asthma,46274059,Acute severe exacerbation of severe persistent allergic asthma,S
asthma,45769350,Acute severe exacerbation of severe persistent asthma,S
asthma,46269771,Acute severe exacerbation of severe persistent asthma co-occurrent with allergic rhinitis,S
asthma,37116845,Acute severe refractory exacerbation of asthma,S
asthma,4191479,Allergic asthma,S
asthma,45766728,Allergic asthma due to Dermatophagoides farinae,S
asthma,45766727,Allergic asthma due to Dermatophagoides pteronyssinus,S
asthma,4271333,Allergic asthma without status asthmaticus,S
asthma,46269801,Aspirin exacerbated respiratory disease,S
asthma,4250128,Aspirin-induced asthma,S
asthma,317009,Asthma,S
asthma,4211530,Asthma caused by wood dust,S
asthma,46274062,Asthma-chronic obstructive pulmonary disease overlap syndrome,S
asthma,45772073,Asthma in mother complicating childbirth,S
asthma,42535716,Asthma in pregnancy,S
asthma,4235703,Asthma management,S
asthma,44783610,Asthma self management,S
asthma,4233784,Asthmatic bronchitis,S
asthma,252942,Asthmatic pulmonary eosinophilia,S
asthma,43530745,Asthma with irreversible airway obstruction,S
asthma,4206340,Asthma without status asthmaticus,S
asthma,4143474,Bakers' asthma,S
asthma,4075237,Brittle asthma,S
asthma,4225553,Cheese-makers' asthma,S
asthma,4245676,Chemical-induced asthma,S
asthma,4051466,Childhood asthma,S
asthma,256448,Chronic asthmatic bronchitis,S
asthma,44810117,Chronic asthma with fixed airflow obstruction,S
asthma,46269802,Chronic obstructive asthma co-occurrent with acute exacerbation of asthma,S
asthma,4119300,Colophony asthma,S
asthma,313236,Cough variant asthma,S
asthma,4120262,Cryptogenic pulmonary eosinophilia,S
asthma,4217558,Detergent asthma,S
asthma,4244339,Drug-induced asthma,S
asthma,42538744,Exacerbation of allergic asthma,S
asthma,36684335,Exacerbation of allergic asthma due to infection,S
asthma,1340255,Exacerbation of asthma,S
asthma,4138760,Exacerbation of intermittent asthma,S
asthma,45768911,Exacerbation of mild persistent asthma,S
asthma,45772937,Exacerbation of moderate persistent asthma,S
asthma,45768912,Exacerbation of severe persistent asthma,S
asthma,443801,Exercise-induced asthma,S
asthma,4123253,Hay fever with asthma,S
asthma,312950,IgE-mediated allergic asthma,S
asthma,761844,Inhaled steroid-dependent asthma,S
asthma,37310241,Intermittent allergic asthma,S
asthma,4141978,Intermittent asthma,S
asthma,46270030,Intermittent asthma co-occurrent with allergic rhinitis,S
asthma,46270322,Intermittent asthma uncontrolled,S
asthma,4145497,Intrinsic asthma,S
asthma,252658,Intrinsic asthma without status asthmaticus,S
asthma,4225554,Isocyanate induced asthma,S
asthma,4119298,Late onset asthma,S
asthma,35609846,Life threatening acute exacerbation of allergic asthma,S
asthma,42536207,Life threatening acute exacerbation of asthma,S
asthma,35609847,Life threatening acute exacerbation of intrinsic asthma,S
asthma,4057952,Meat-wrappers' asthma,S
asthma,4155468,Mild asthma,S
asthma,4146581,Mild intermittent asthma,S
asthma,46269776,Mild persistent allergic asthma,S
asthma,4143828,Mild persistent asthma,S
asthma,46270029,Mild persistent asthma co-occurrent with allergic rhinitis,S
asthma,4022592,Millers' asthma,S
asthma,4110051,Mixed asthma,S
asthma,42536208,Moderate acute exacerbation of asthma,S
asthma,4155469,Moderate asthma,S
asthma,46269784,Moderate persistent allergic asthma,S
asthma,4142738,Moderate persistent asthma,S
asthma,46273454,Moderate persistent asthma co-occurrent with allergic rhinitis,S
asthma,37206717,Near fatal asthma,S
asthma,4309833,Non-IgE mediated allergic asthma,S
asthma,4155470,Occasional asthma,S
asthma,4212099,Occupational asthma,S
asthma,37109103,Oral steroid-dependent asthma,S
asthma,764677,Persistent asthma,S
asthma,2108536,"Persistent asthma, preferred long term control medication or an acceptable alternative treatment, prescribed (NMA-No Measure Associated)",S
asthma,764949,"Persistent asthma, well controlled",S
asthma,4232595,Platinum asthma,S
asthma,4080516,Printers' asthma,S
asthma,4279553,Pulmonary eosinophilia,S
asthma,40483397,Seasonal asthma,S
asthma,4152913,Severe asthma,S
asthma,37208352,Severe asthma with fungal sensitisation,S
asthma,37108580,Severe controlled persistent asthma,S
asthma,46269770,Severe persistent allergic asthma,S
asthma,4145356,Severe persistent asthma,S
asthma,46270028,Severe persistent asthma co-occurrent with allergic rhinitis,S
asthma,37108581,Severe uncontrolled persistent asthma,S
asthma,4277596,Simple pulmonary eosinophilia,S
asthma,46273635,Steroid dependent asthma,S
asthma,4120261,Sulfite-induced asthma,S
asthma,4301938,Tea-makers' asthma,S
asthma,3661412,Thunderstorm asthma,S
asthma,4081994,Tropical pulmonary eosinophilia,S
asthma,42539549,Uncomplicated allergic asthma,S
asthma,45768910,Uncomplicated asthma,S
asthma,45768963,Uncomplicated mild persistent asthma,S
asthma,45768964,Uncomplicated moderate persistent asthma,S
asthma,42536649,Uncomplicated non-allergic asthma,S
asthma,45768965,Uncomplicated severe persistent asthma,S
asthma,4245292,Weavers' cough,S
bmi_measurement,3038553,Body mass index (BMI) [Ratio],S
bmi_measurement,36304833,Body mass index (BMI) [Ratio] Estimated,S
body_weight,3025315,Body weight,S
body_weight,4099154,Body weight,N
body_weight,3013762,Body weight Measured,S
body_weight,3023166,Body weight Stated,S
body_weight,3027492,Dry body weight Measured,S
diabetes,36715051,"Atherosclerosis, deafness, diabetes, epilepsy, nephropathy syndrome",S
diabetes,36713275,Atypical diabetes mellitus,S
diabetes,36715417,DEND syndrome,S
diabetes,4129516,Diabetes-deafness syndrome maternally transmitted,S
diabetes,201820,Diabetes mellitus,S
diabetes,4143529,Diabetes mellitus associated with cystic fibrosis,S
diabetes,4245270,Diabetes mellitus associated with genetic syndrome,S
diabetes,4240589,Diabetes mellitus associated with hormonal etiology,S
diabetes,4178452,Diabetes mellitus associated with pancreatic disease,S
diabetes,4178790,Diabetes mellitus associated with receptor abnormality,S
diabetes,42537681,Diabetes mellitus caused by chemical,S
diabetes,765478,Diabetes mellitus caused by drug without complication,S
diabetes,3178281,Diabetes mellitus complicating Cystic fibrosis,S
diabetes,4144583,Diabetes mellitus due to cystic fibrosis,S
diabetes,43531011,Diabetes mellitus due to genetic defect in beta cell function,S
diabetes,43531642,Diabetes mellitus due to genetic defect in insulin action,S
diabetes,4192852,Diabetes mellitus due to insulin receptor antibodies,S
diabetes,45757077,Diabetes mellitus due to pancreatic injury,S
diabetes,4237068,Diabetes mellitus due to structurally abnormal insulin,S
diabetes,4235410,Diabetes mellitus induced by non-steroid drugs,S
diabetes,4136889,Diabetes mellitus induced by non-steroid drugs without complication,S
diabetes,45766050,Diabetes mellitus in remission,S
diabetes,43531645,"Diabetes mellitus, transient neonatal 1",S
diabetes,43531019,"Diabetes mellitus, transient neonatal 2",S
diabetes,43531020,"Diabetes mellitus, transient neonatal 3",S
diabetes,37174264,Diabetes mellitus type 1 stage 1,S
diabetes,37174265,Diabetes mellitus type 1 stage 2,S
diabetes,37174270,Diabetes mellitus type 1 stage 3,S
diabetes,45757674,Diabetes mellitus type 1 without retinopathy,S
diabetes,45757474,Diabetes mellitus type 2 without retinopathy,S
diabetes,36684827,Diabetes mellitus type 2 with periodontal disease,S
diabetes,44793113,Diabetes mellitus with multiple complications,S
diabetes,4008576,Diabetes mellitus without complication,S
diabetes,42535539,Disorder of nerve co-occurrent and due to type 1 diabetes mellitus,S
diabetes,4202383,Drug-induced diabetes mellitus,S
diabetes,1340306,Exacerbation of diabetes mellitus,S
diabetes,766252,Exacerbation of type 1 diabetes mellitus,S
diabetes,766253,Exacerbation of type 2 diabetes mellitus,S
diabetes,4084643,"Extreme insulin resistance with acanthosis nigricans, hirsutism AND abnormal insulin receptors",S
diabetes,4099741,Fibrocalculous pancreatic diabetes,S
diabetes,37163452,Fulminant type 1 diabetes mellitus,S
diabetes,37396524,Gingival disease co-occurrent with diabetes mellitus,S
diabetes,46274096,Gingivitis co-occurrent with diabetes mellitus,S
diabetes,4048202,Houssay's syndrome,S
diabetes,4047906,Insulin dependent diabetes mellitus type 1A,S
diabetes,4102018,Insulin dependent diabetes mellitus type 1B,S
diabetes,4129524,Insulin resistance - type A,S
diabetes,4129525,Insulin resistance - type B,S
diabetes,4130162,Insulin treated type 2 diabetes mellitus,S
diabetes,36717215,"Intellectual disability, craniofacial dysmorphism, hypogonadism, diabetes mellitus syndrome",S
diabetes,37162799,"Intrauterine growth restriction, short stature, early adult-onset diabetes syndrome",S
diabetes,37165632,"Juvenile-onset diabetes mellitus, central and peripheral neurodegeneration syndrome",S
diabetes,604357,Ketosis-prone diabetes mellitus,S
diabetes,37163431,Ketosis-resistant diabetes mellitus,S
diabetes,4145827,Latent autoimmune diabetes mellitus in adult,S
diabetes,4006979,Leprechaunism syndrome,S
diabetes,4131907,Lipoatrophic diabetes,S
diabetes,44787902,Lipoatrophic diabetes mellitus without complication,S
diabetes,4327944,Malnutrition related diabetes mellitus,S
diabetes,4030061,Malnutrition-related diabetes mellitus - fibrocalculous,S
diabetes,4096042,Malnutrition-related diabetes mellitus without complications,S
diabetes,4096671,Malnutrition-related diabetes mellitus with peripheral circulatory complications,S
diabetes,4096670,Malnutrition-related diabetes mellitus with renal complications,S
diabetes,4166381,Maternal diabetes mellitus with hypoglycemia affecting fetus OR newborn,S
diabetes,44792134,Maternally inherited diabetes mellitus,S
diabetes,43531640,Maturity-onset diabetes of the young,S
diabetes,43531006,"Maturity onset diabetes of the young, type 1",S
diabetes,43531017,"Maturity-onset diabetes of the young, type 10",S
diabetes,43531018,"Maturity-onset diabetes of the young, type 11",S
diabetes,4130164,"Maturity onset diabetes of the young, type 2",S
diabetes,43531012,"Maturity-onset diabetes of the young, type 3",S
diabetes,43531013,"Maturity-onset diabetes of the young, type 4",S
diabetes,43531014,"Maturity-onset diabetes of the young, type 5",S
diabetes,43531643,"Maturity-onset diabetes of the young, type 6",S
diabetes,43531015,"Maturity-onset diabetes of the young, type 7",S
diabetes,43531644,"Maturity-onset diabetes of the young, type 8",S
diabetes,43531016,"Maturity-onset diabetes of the young, type 9",S
diabetes,4034963,"Megaloblastic anemia, thiamine-responsive, with diabetes mellitus and sensorineural deafness",S
diabetes,4034961,"Muscular atrophy, ataxia, retinitis pigmentosa, and diabetes mellitus",S
diabetes,37204818,Myopathy and diabetes mellitus,S
diabetes,193323,Neonatal diabetes mellitus,S
diabetes,36716258,"Pancreatic hypoplasia, diabetes mellitus, congenital heart disease syndrome",S
diabetes,43531641,Permanent neonatal diabetes mellitus,S
diabetes,37110041,Permanent neonatal diabetes mellitus with cerebellar agenesis syndrome,S
diabetes,4030066,"Photomyoclonus, diabetes mellitus, deafness, nephropathy and cerebral dysfunction",S
diabetes,3198118,Poorly controlled diabetes mellitus,S
diabetes,3194119,Poorly controlled type 1 diabetes,S
diabetes,3193274,Poorly controlled type 2 diabetes,S
diabetes,3192767,Poorly controlled type II diabetes with circulatory disease,S
diabetes,3194082,Poorly controlled type II diabetes with complications,S
diabetes,3191208,Poorly controlled type II diabetes with neuropathy,S
diabetes,3194332,Poorly controlled type II diabetes with renal complications,S
